"","Continent","Year","Population"
"1","Africa",2022,1426730932
"2","Africa",2015,1201102442
"3","Africa",2010,1055228072
"4","Africa",2000,818946032
"5","Asia",2022,4721383274
"6","Asia",2015,4458250182
"7","Asia",2010,4220041327
"8","Asia",2000,3735089604
"9","Europe",2022,743147538
"10","Europe",2015,741535608
"11","Europe",2010,735613934
"12","Europe",2000,726093423
"13","North America",2022,600296136
"14","North America",2015,570383850
"15","North America",2010,542720651
"16","North America",2000,486069584
"17","Oceania",2022,45038554
"18","Oceania",2015,40403283
"19","Oceania",2010,37102764
"20","Oceania",2000,31222778
"21","South America",2022,436816608
"22","South America",2015,413134396
"23","South America",2010,393078250
"24","South America",2000,349634282
