"","continent","Edition","avg_CL_Rating","avg_PR_Rating"
"1","Africa",2013,4.39285714285714,4.55357142857143
"2","Africa",2014,4.35714285714286,4.55357142857143
"3","Africa",2015,4.42857142857143,4.57142857142857
"4","Africa",2016,4.46428571428571,4.58928571428571
"5","Africa",2017,4.48214285714286,4.64285714285714
"6","Africa",2018,4.48214285714286,4.66071428571429
"7","Africa",2019,4.48214285714286,4.66071428571429
"8","Africa",2020,4.48214285714286,4.80357142857143
"9","Africa",2021,4.5,4.83928571428571
"10","Africa",2022,4.51785714285714,4.85714285714286
"11","Asia",2013,4.53703703703704,4.7037037037037
"12","Asia",2014,4.53703703703704,4.68518518518519
"13","Asia",2015,4.57407407407407,4.75925925925926
"14","Asia",2016,4.55555555555556,4.77777777777778
"15","Asia",2017,4.55555555555556,4.7962962962963
"16","Asia",2018,4.59259259259259,4.81481481481481
"17","Asia",2019,4.57407407407407,4.85185185185185
"18","Asia",2020,4.62962962962963,4.88888888888889
"19","Asia",2021,4.7037037037037,4.98148148148148
"20","Asia",2022,4.74074074074074,5.11111111111111
"21","Europe",2013,1.62790697674419,1.72093023255814
"22","Europe",2014,1.62790697674419,1.69767441860465
"23","Europe",2015,1.65116279069767,1.74418604651163
"24","Europe",2016,1.67441860465116,1.74418604651163
"25","Europe",2017,1.74418604651163,1.83720930232558
"26","Europe",2018,1.74418604651163,1.83720930232558
"27","Europe",2019,1.86046511627907,1.90697674418605
"28","Europe",2020,1.83720930232558,1.88372093023256
"29","Europe",2021,1.83720930232558,1.86046511627907
"30","Europe",2022,1.86046511627907,1.86046511627907
"31","North America",2013,2.5,2.25
"32","North America",2014,2.5,2.25
"33","North America",2015,2.5,2.3
"34","North America",2016,2.5,2.4
"35","North America",2017,2.55,2.45
"36","North America",2018,2.55,2.5
"37","North America",2019,2.55,2.5
"38","North America",2020,2.6,2.55
"39","North America",2021,2.7,2.6
"40","North America",2022,2.65,2.75
"41","Oceania",2013,1.76923076923077,2.15384615384615
"42","Oceania",2014,1.76923076923077,2
"43","Oceania",2015,1.84615384615385,1.76923076923077
"44","Oceania",2016,1.76923076923077,1.84615384615385
"45","Oceania",2017,1.76923076923077,1.76923076923077
"46","Oceania",2018,1.69230769230769,1.76923076923077
"47","Oceania",2019,1.69230769230769,1.76923076923077
"48","Oceania",2020,1.76923076923077,1.76923076923077
"49","Oceania",2021,1.76923076923077,1.76923076923077
"50","Oceania",2022,1.76923076923077,1.84615384615385
"51","South America",2013,2.66666666666667,2.41666666666667
"52","South America",2014,2.66666666666667,2.41666666666667
"53","South America",2015,2.66666666666667,2.41666666666667
"54","South America",2016,2.75,2.41666666666667
"55","South America",2017,2.75,2.5
"56","South America",2018,2.58333333333333,2.5
"57","South America",2019,2.75,2.58333333333333
"58","South America",2020,2.83333333333333,2.58333333333333
"59","South America",2021,2.75,2.66666666666667
"60","South America",2022,2.75,2.5
